date_id,full_date,day,month,quarter,year,weekday_flag,holiday_flag
1,2024-01-01,1,1,1,2024,Y,Y
2,2024-01-02,2,1,1,2024,Y,Y
3,2024-01-03,3,1,1,2024,Y,N
4,2024-01-04,4,1,1,2024,Y,Y
5,2024-01-05,5,1,1,2024,Y,Y
6,2024-01-06,6,1,1,2024,N,Y
7,2024-01-07,7,1,1,2024,N,Y
8,2024-01-08,8,1,1,2024,Y,N
9,2024-01-09,9,1,1,2024,Y,Y
10,2024-01-10,10,1,1,2024,Y,N
11,2024-01-11,11,1,1,2024,Y,N
12,2024-01-12,12,1,1,2024,Y,N
13,2024-01-13,13,1,1,2024,N,Y
14,2024-01-14,14,1,1,2024,N,Y
15,2024-01-15,15,1,1,2024,Y,N
16,2024-01-16,16,1,1,2024,Y,Y
17,2024-01-17,17,1,1,2024,Y,Y
18,2024-01-18,18,1,1,2024,Y,Y
19,2024-01-19,19,1,1,2024,Y,N
20,2024-01-20,20,1,1,2024,N,Y
21,2024-01-21,21,1,1,2024,N,Y
22,2024-01-22,22,1,1,2024,Y,Y
23,2024-01-23,23,1,1,2024,Y,Y
24,2024-01-24,24,1,1,2024,Y,Y
25,2024-01-25,25,1,1,2024,Y,N
26,2024-01-26,26,1,1,2024,Y,Y
27,2024-01-27,27,1,1,2024,N,N
28,2024-01-28,28,1,1,2024,N,Y
29,2024-01-29,29,1,1,2024,Y,N
30,2024-01-30,30,1,1,2024,Y,N
31,2024-01-31,31,1,1,2024,Y,N
32,2024-02-01,1,2,1,2024,Y,Y
33,2024-02-02,2,2,1,2024,Y,Y
34,2024-02-03,3,2,1,2024,N,N
35,2024-02-04,4,2,1,2024,N,N
36,2024-02-05,5,2,1,2024,Y,Y
37,2024-02-06,6,2,1,2024,Y,Y
38,2024-02-07,7,2,1,2024,Y,N
39,2024-02-08,8,2,1,2024,Y,Y
40,2024-02-09,9,2,1,2024,Y,Y
41,2024-02-10,10,2,1,2024,N,Y
42,2024-02-11,11,2,1,2024,N,N
43,2024-02-12,12,2,1,2024,Y,Y
44,2024-02-13,13,2,1,2024,Y,N
45,2024-02-14,14,2,1,2024,Y,Y
46,2024-02-15,15,2,1,2024,Y,N
47,2024-02-16,16,2,1,2024,Y,N
