performance_id,campaign_id,channel_id,customer_id,date_id,impressions,clicks,conversions,spend_usd,revenue_usd
1,1890,7,10812,419,1492,3416,114,2204.12,4148.19
2,1091,8,11325,297,904,375,499,3639.97,6949.68
3,1545,1,10233,697,908,4123,470,4845.83,5380.99
4,1331,2,10117,562,4668,197,166,4864.0,8307.79
5,1103,8,11691,3,9256,159,81,778.65,7983.85
6,1784,5,10560,580,5812,2074,200,688.48,9997.34
7,1644,6,11511,113,523,1011,156,2606.65,7409.5
8,1642,6,11087,703,1026,4059,306,4078.65,7364.22
9,1245,8,10585,531,3097,668,270,1639.12,1107.56
10,1104,3,10725,373,2188,1111,128,1271.37,7641.76
11,1613,3,11326,487,294,2517,495,773.1,9893.76
12,1867,5,10346,562,1054,1788,479,2006.86,1453.55
13,1300,6,10197,502,7773,4778,267,2126.05,1554.14
14,1724,8,10201,195,1809,1359,202,4357.0,4154.73
15,1705,4,11943,646,7946,1233,111,787.14,8537.47
16,1151,2,11576,421,3490,1862,218,2492.01,9322.91
17,1509,6,10228,681,9842,3074,384,4146.47,1668.99
18,1974,8,11512,646,6476,1742,366,696.28,8268.39
19,1185,4,11761,107,3385,4792,169,1009.06,2509.28
20,1803,1,11274,8,3571,3999,372,320.04,3957.08
21,1435,2,10327,364,8273,1332,297,1766.45,9128.07
22,1434,2,11467,618,5132,796,137,3514.77,4112.05
23,1267,2,11858,351,9412,4866,169,1565.58,6234.82
24,1925,2,10632,624,5859,3441,173,2290.61,6585.83
25,1501,2,10707,151,1054,1487,326,4402.81,9869.11
26,1985,5,10282,206,4205,1578,346,1371.91,3109.6
27,1838,8,10797,230,1479,2091,482,198.48,2002.02
28,1570,6,10337,297,6081,3579,213,2511.99,4555.41
29,1755,7,10049,47,7831,666,26,4845.6,6201.0
30,1257,4,10941,227,1956,161,195,4769.37,2937.84
31,1570,1,10808,314,6993,3808,186,228.94,4543.27
32,1255,7,11546,214,5946,4398,93,1418.08,5187.05
33,1055,4,11926,458,7208,2261,243,2485.85,2915.16
34,1733,4,11457,235,788,3801,427,1712.33,3412.87
35,1466,1,10466,479,5363,1620,444,1551.04,6124.28
36,1773,1,11691,317,6448,3008,118,4322.38,9751.96
37,1070,4,10357,45,447,4039,321,2843.93,7138.77
38,1092,7,10331,678,2327,4612,374,320.18,234.95
39,1841,3,11724,115,2725,3871,301,4322.68,306.55
40,1179,8,11568,185,9857,2619,199,1732.36,2105.76
41,1691,8,11409,509,5216,891,139,3262.92,6149.11
42,1817,1,11389,580,4696,2387,412,1360.69,9864.75
43,1829,7,11616,671,4470,3725,371,4520.88,4880.54
44,1384,7,11983,323,6341,2408,334,2360.12,1370.13
45,1440,3,10625,730,9772,1620,159,350.58,8829.2
46,1934,3,11937,636,1160,1788,90,4258.05,5573.23
47,1800,2,10772,488,2670,3343,385,4813.11,2828.58
48,1844,8,10949,313,8276,2979,164,141.06,3091.68
49,1784,8,10643,207,1028,892,19,2104.14,9897.16
50,1199,5,11167,79,7760,4445,96,3473.91,3179.26
51,1872,6,11037,435,3141,718,86,2761.56,6448.17
52,1757,6,11826,334,8416,4775,278,4113.07,3339.32
53,1692,2,11032,549,7644,3732,138,1288.66,4873.4
54,1768,8,11697,392,1957,70,126,1125.37,4032.46
55,1040,7,11689,226,4809,2653,455,4039.19,4386.05
56,1464,6,11263,367,5024,1036,57,4431.17,1971.65
57,1909,4,10638,729,7124,3461,189,895.83,6956.31
58,1705,1,11523,234,6921,3012,338,2067.06,342.9
59,1886,4,11266,642,2175,692,445,3941.56,1810.66
60,1962,1,10651,164,6898,1038,475,3047.93,9720.21
61,1096,1,10140,505,2353,3102,76,4316.63,1638.99
62,1184,2,11414,397,3108,4085,359,2336.13,4105.49
63,1029,6,11786,381,7201,3503,57,3890.99,7344.51
64,1016,7,10584,70,5111,3737,163,445.99,363.52
65,1304,6,11192,709,3515,1588,259,183.14,4944.29
66,1168,3,10384,309,7486,1065,237,4236.65,3251.68
67,1847,1,10085,543,2523,382,73,1502.03,8110.12
68,1157,4,11560,297,6402,1278,135,3521.16,3064.67
69,1664,6,10107,568,1146,4668,290,4718.62,7120.06
70,1853,4,11717,323,2908,1030,476,1197.65,7458.51
71,1277,3,11220,73,5916,2728,194,2304.31,6496.48
72,1220,7,11535,712,1168,2181,142,4777.17,4603.02
73,1557,7,11130,524,8233,2520,94,1517.45,6748.29
74,1767,6,11409,268,2654,4632,22,4673.02,8698.08
75,1115,5,11336,304,2912,1213,450,451.78,6270.86
76,1828,3,10133,593,2919,943,182,3381.37,2491.08
77,1561,3,10153,702,2455,600,310,3464.96,8024.55
78,1845,5,11993,403,2441,2472,130,1239.81,1840.92
79,1296,4,11324,207,1477,2326,230,3347.85,3898.85
80,1995,2,10873,594,2182,870,368,951.02,6798.58
81,1960,4,11849,722,6463,1455,405,282.25,2933.01
82,1421,6,11325,282,1520,206,112,3762.39,7731.75
83,1265,7,10423,658,5352,2211,283,2137.25,8136.5
84,1061,8,11455,514,7777,3443,446,890.93,9842.84
85,1362,7,10049,388,1549,1875,267,4757.0,6138.89
86,1638,7,10349,196,1881,2531,300,2919.86,8503.18
87,1186,1,10968,521,4389,326,410,4000.53,9805.64
88,1664,1,10957,311,1908,2011,229,4649.42,1383.99
89,1320,3,10971,345,8760,97,208,2426.67,1640.02
90,1998,5,11855,296,3660,4126,294,1053.16,2807.7
91,1018,2,11490,230,6559,3649,81,2282.43,9358.26
92,1542,8,11998,4,2255,2877,130,211.44,1330.21
93,1495,4,10981,1,1753,3651,478,4585.48,7548.85
94,1362,6,10629,336,725,3651,245,3521.99,928.11
